name,case_id,seed,kind,returncode,stderr_empty,stdout_lines,expected_success,expected_stderr
slow_ratio_20pct_seed68_aggregate_csv_extended,slow_ratio_20pct,68,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed68_windowed_csv,slow_ratio_20pct,68,windowed,0,1,81,1,
slow_ratio_20pct_seed69_aggregate_csv_extended,slow_ratio_20pct,69,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed69_windowed_csv,slow_ratio_20pct,69,windowed,0,1,81,1,
slow_ratio_20pct_seed70_aggregate_csv_extended,slow_ratio_20pct,70,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed70_windowed_csv,slow_ratio_20pct,70,windowed,0,1,81,1,
slow_ratio_20pct_seed71_aggregate_csv_extended,slow_ratio_20pct,71,aggregate_extended,0,1,5,1,
slow_ratio_20pct_seed71_windowed_csv,slow_ratio_20pct,71,windowed,0,1,81,1,
slow_ratio_20pct_seed42_event_trace,slow_ratio_20pct,42,event_trace,0,1,131,1,
zipf_0_8_seed42_aggregate_csv_extended,zipf_0_8,42,aggregate_extended,0,1,5,1,
zipf_0_8_seed42_windowed_csv,zipf_0_8,42,windowed,0,1,81,1,
zipf_0_8_seed43_aggregate_csv_extended,zipf_0_8,43,aggregate_extended,0,1,5,1,
zipf_0_8_seed43_windowed_csv,zipf_0_8,43,windowed,0,1,81,1,
zipf_0_8_seed44_aggregate_csv_extended,zipf_0_8,44,aggregate_extended,0,1,5,1,
zipf_0_8_seed44_windowed_csv,zipf_0_8,44,windowed,0,1,81,1,
zipf_0_8_seed45_aggregate_csv_extended,zipf_0_8,45,aggregate_extended,0,1,5,1,
zipf_0_8_seed45_windowed_csv,zipf_0_8,45,windowed,0,1,81,1,
zipf_0_8_seed46_aggregate_csv_extended,zipf_0_8,46,aggregate_extended,0,1,5,1,
zipf_0_8_seed46_windowed_csv,zipf_0_8,46,windowed,0,1,81,1,
zipf_0_8_seed47_aggregate_csv_extended,zipf_0_8,47,aggregate_extended,0,1,5,1,
zipf_0_8_seed47_windowed_csv,zipf_0_8,47,windowed,0,1,81,1,
zipf_0_8_seed48_aggregate_csv_extended,zipf_0_8,48,aggregate_extended,0,1,5,1,
zipf_0_8_seed48_windowed_csv,zipf_0_8,48,windowed,0,1,81,1,
zipf_0_8_seed49_aggregate_csv_extended,zipf_0_8,49,aggregate_extended,0,1,5,1,
zipf_0_8_seed49_windowed_csv,zipf_0_8,49,windowed,0,1,81,1,
zipf_0_8_seed50_aggregate_csv_extended,zipf_0_8,50,aggregate_extended,0,1,5,1,
zipf_0_8_seed50_windowed_csv,zipf_0_8,50,windowed,0,1,81,1,
